TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
1;MINIMAX;1;0.074;4;16;11.0;13602; ;
2;MINIMAX;2;0.052;4;19;13.0;19638; ;
3;MINIMAX;1;0.093;4;20;14.0;34205; ;
4;MINIMAX;2;0.122;4;21;13.0;42734; ;
5;MINIMAX;1;0.091;4;23;15.0;45274; ;
6;MINIMAX;2;0.129;4;22;16.0;69084; ;
7;MINIMAX;1;0.072;4;21;13.0;47826; ;
8;MINIMAX;2;0.049;4;21;14.0;37036; ;
9;MINIMAX;1;0.04;4;20;12.0;31000; ;
10;MINIMAX;2;0.055;4;23;16.0;40346; ;
11;MINIMAX;1;0.103;4;23;14.0;79361; ;
12;MINIMAX;2;0.118;4;25;16.0;84921; ;
13;MINIMAX;1;0.109;4;22;15.0;68790; ;
14;MINIMAX;2;0.056;4;24;15.0;42988; ;
15;MINIMAX;1;0.052;4;21;13.0;37654; ;
16;MINIMAX;2;0.03;4;19;12.0;21604; ;
17;MINIMAX;1;0.037;4;21;13.0;29674; ;
18;MINIMAX;2;0.052;4;20;14.0;35579; ;
19;MINIMAX;1;0.036;4;19;13.0;25922; ;
20;MINIMAX;2;0.028;4;19;12.0;21604; ;
21;MINIMAX;1;0.044;4;21;13.0;29674; ;
22;MINIMAX;2;0.047;4;20;14.0;35579; ;
23;MINIMAX;1;0.037;4;19;13.0;25922; ;
24;MINIMAX;2;0.032;4;19;12.0;21604; ;
25;MINIMAX;1;0.037;4;21;13.0;29674; ;
26;MINIMAX;2;0.054;4;21;13.0;43026; ;
27;MINIMAX;1;0.051;4;21;14.0;35467; ;
28;MINIMAX;2;0.05;4;18;13.0;26319; ;
29;MINIMAX;1;0.043;4;22;14.0;32869; ;
30;MINIMAX;2;0.039;4;19;13.0;30316;EMPATE;
1;MINIMAX;2;0.018;4;16;11.0;13602; ;
2;MINIMAX;1;0.027;4;19;12.0;19624; ;
3;MINIMAX;2;0.045;4;20;14.0;31692; ;
4;MINIMAX;1;0.094;4;23;15.0;56230; ;
5;MINIMAX;2;0.07;4;22;14.0;49080; ;
6;MINIMAX;1;0.077;4;26;17.0;61744; ;
7;MINIMAX;2;0.086;4;25;12.0;56794; ;
8;MINIMAX;1;0.069;4;27;19.0;51882; ;
9;MINIMAX;2;0.063;4;26;10.0;50839; ;
10;MINIMAX;1;0.029;4;25;16.0;23657; ;
11;MINIMAX;2;0.05;4;25;11.0;39749; ;
12;MINIMAX;1;0.057;4;26;17.0;39437; ;
13;MINIMAX;2;0.065;4;26;12.0;51139; ;
14;MINIMAX;1;0.047;4;23;14.0;32781; ;
15;MINIMAX;2;0.035;4;21;12.0;28390; ;
16;MINIMAX;1;0.051;4;26;16.0;40728; ;
17;MINIMAX;2;0.068;4;23;13.0;54403; ;
18;MINIMAX;1;0.038;4;22;13.0;29007; ;
19;MINIMAX;2;0.04;4;21;13.0;30318; ;
20;MINIMAX;1;0.047;4;25;16.0;37115; ;
21;MINIMAX;2;0.066;4;24;13.0;49286; ;
22;MINIMAX;1;0.05;4;25;16.0;39456; ;
23;MINIMAX;2;0.058;4;24;12.0;44177; ;
24;MINIMAX;1;0.042;4;22;15.0;32841; ;
25;MINIMAX;2;0.04;4;20;12.0;31993; ;
26;MINIMAX;1;0.032;4;24;15.0;24595; ;
27;MINIMAX;2;0.049;4;20;13.0;37009; ;
28;MINIMAX;1;0.059;4;21;15.0;43597; ;
29;MINIMAX;2;0.066;4;22;15.0;52061;VITORIA;
1;MINIMAX;1;0.021;4;16;11.0;13602; ;
2;MINIMAX;2;0.026;4;19;12.0;19624; ;
3;MINIMAX;1;0.041;4;20;14.0;31692; ;
4;MINIMAX;2;0.072;4;23;15.0;56038; ;
5;MINIMAX;1;0.066;4;22;14.0;50773; ;
6;MINIMAX;2;0.081;4;26;17.0;61744; ;
7;MINIMAX;1;0.071;4;25;12.0;56794; ;
8;MINIMAX;2;0.065;4;27;19.0;51882; ;
9;MINIMAX;1;0.08;4;26;12.0;62500; ;
10;MINIMAX;2;0.038;4;25;16.0;30717; ;
11;MINIMAX;1;0.043;4;24;11.0;31821; ;
12;MINIMAX;2;0.051;4;23;15.0;38258; ;
13;MINIMAX;1;0.079;4;21;14.0;58698; ;
14;MINIMAX;2;0.069;4;23;17.0;53462; ;
15;MINIMAX;1;0.093;4;22;14.0;70232; ;
16;MINIMAX;2;0.07;4;22;15.0;51789; ;
17;MINIMAX;1;0.047;4;21;12.0;37475; ;
18;MINIMAX;2;0.057;4;22;15.0;43427; ;
19;MINIMAX;1;0.059;4;21;13.0;46528; ;
20;MINIMAX;2;0.054;4;23;16.0;41066; ;
21;MINIMAX;1;0.048;4;22;13.0;37904; ;
22;MINIMAX;2;0.035;4;21;14.0;27502; ;
23;MINIMAX;1;0.033;4;21;12.0;26915; ;
24;MINIMAX;2;0.039;4;20;15.0;31640; ;
25;MINIMAX;1;0.05;4;20;13.0;39152; ;
26;MINIMAX;2;0.049;4;19;14.0;36716; ;
27;MINIMAX;1;0.043;4;22;15.0;32800;VITORIA;
1;MINIMAX;2;0.021;4;16;11.0;13602; ;
2;MINIMAX;1;0.025;4;19;13.0;19638; ;
3;MINIMAX;2;0.043;4;20;14.0;34205; ;
4;MINIMAX;1;0.055;4;21;13.0;42734; ;
5;MINIMAX;2;0.057;4;23;15.0;45274; ;
6;MINIMAX;1;0.091;4;22;16.0;69084; ;
7;MINIMAX;2;0.06;4;21;13.0;47826; ;
8;MINIMAX;1;0.048;4;21;14.0;37036; ;
9;MINIMAX;2;0.04;4;20;12.0;31000; ;
10;MINIMAX;1;0.055;4;23;16.0;40346; ;
11;MINIMAX;2;0.052;4;21;12.0;40645; ;
12;MINIMAX;1;0.051;4;20;14.0;21690; ;
13;MINIMAX;2;0.033;4;19;11.0;21749; ;
14;MINIMAX;1;0.027;4;20;13.0;19221; ;
15;MINIMAX;2;0.031;4;20;12.0;23020;VITORIA;
1;MINIMAX;1;0.018;4;16;11.0;13602; ;
2;MINIMAX;2;0.024;4;19;13.0;19638; ;
3;MINIMAX;1;0.042;4;20;14.0;34205; ;
4;MINIMAX;2;0.053;4;20;13.0;41096; ;
5;MINIMAX;1;0.059;4;23;16.0;46937; ;
6;MINIMAX;2;0.109;4;23;15.0;84630; ;
7;MINIMAX;1;0.102;4;24;14.0;79159; ;
8;MINIMAX;2;0.083;4;24;16.0;64675; ;
9;MINIMAX;1;0.051;4;23;13.0;41718; ;
10;MINIMAX;2;0.053;4;21;15.0;40019; ;
11;MINIMAX;1;0.044;4;21;11.0;34545; ;
12;MINIMAX;2;0.043;4;25;16.0;32916; ;
13;MINIMAX;1;0.047;4;21;12.0;37788; ;
14;MINIMAX;2;0.043;4;23;14.0;32686; ;
15;MINIMAX;1;0.038;4;20;13.0;28637; ;
16;MINIMAX;2;0.04;4;20;14.0;31525; ;
17;MINIMAX;1;0.04;4;20;14.0;30649; ;
18;MINIMAX;2;0.048;4;22;14.0;35507; ;
19;MINIMAX;1;0.067;4;22;13.0;41165; ;
20;MINIMAX;2;0.038;4;20;13.0;27723; ;
21;MINIMAX;1;0.029;4;18;12.0;21951; ;
22;MINIMAX;2;0.038;4;23;14.0;31044; ;
23;MINIMAX;1;0.049;4;22;13.0;39514; ;
24;MINIMAX;2;0.035;4;20;13.0;27723; ;
25;MINIMAX;1;0.029;4;18;12.0;21951; ;
26;MINIMAX;2;0.039;4;24;15.0;31611; ;
27;MINIMAX;1;0.053;4;22;13.0;41763; ;
28;MINIMAX;2;0.057;4;24;16.0;44948; ;
29;MINIMAX;1;0.053;4;22;12.0;42492; ;
30;MINIMAX;2;0.046;4;25;17.0;34812;EMPATE;
1;MINIMAX;2;0.02;4;16;11.0;13602; ;
2;MINIMAX;1;0.027;4;19;12.0;19624; ;
3;MINIMAX;2;0.042;4;20;14.0;31692; ;
4;MINIMAX;1;0.074;4;23;15.0;56038; ;
5;MINIMAX;2;0.065;4;22;14.0;50773; ;
6;MINIMAX;1;0.081;4;26;17.0;61744; ;
7;MINIMAX;2;0.074;4;25;12.0;56794; ;
8;MINIMAX;1;0.067;4;27;19.0;51882; ;
9;MINIMAX;2;0.062;4;26;10.0;50839; ;
10;MINIMAX;1;0.031;4;25;16.0;23657; ;
11;MINIMAX;2;0.05;4;25;11.0;39749; ;
12;MINIMAX;1;0.052;4;26;17.0;39437; ;
13;MINIMAX;2;0.068;4;26;12.0;51139; ;
14;MINIMAX;1;0.044;4;23;14.0;32781; ;
15;MINIMAX;2;0.04;4;21;12.0;28390; ;
16;MINIMAX;1;0.053;4;26;16.0;40728; ;
17;MINIMAX;2;0.071;4;23;13.0;54403; ;
18;MINIMAX;1;0.04;4;22;13.0;29007; ;
19;MINIMAX;2;0.043;4;21;13.0;30318; ;
20;MINIMAX;1;0.048;4;25;16.0;37115; ;
21;MINIMAX;2;0.063;4;24;13.0;49286; ;
22;MINIMAX;1;0.052;4;25;16.0;39456; ;
23;MINIMAX;2;0.058;4;24;12.0;44177; ;
24;MINIMAX;1;0.043;4;22;15.0;32841; ;
25;MINIMAX;2;0.051;4;22;12.0;40956; ;
26;MINIMAX;1;0.082;4;25;17.0;51298; ;
27;MINIMAX;2;0.058;4;24;11.0;45935; ;
28;MINIMAX;1;0.036;4;25;18.0;27956; ;
29;MINIMAX;2;0.053;4;25;11.0;42397; ;
30;MINIMAX;1;0.046;4;24;17.0;34587;EMPATE;
1;MINIMAX;1;0.019;4;16;11.0;13602; ;
2;MINIMAX;2;0.028;4;19;13.0;19638; ;
3;MINIMAX;1;0.042;4;20;14.0;34205; ;
4;MINIMAX;2;0.054;4;20;13.0;41096; ;
5;MINIMAX;1;0.061;4;23;16.0;46937; ;
6;MINIMAX;2;0.11;4;23;15.0;84630; ;
7;MINIMAX;1;0.084;4;22;16.0;64392; ;
8;MINIMAX;2;0.104;4;25;17.0;81501; ;
9;MINIMAX;1;0.092;4;22;14.0;72159; ;
10;MINIMAX;2;0.081;4;26;17.0;62819; ;
11;MINIMAX;1;0.098;4;22;13.0;74592; ;
12;MINIMAX;2;0.077;4;24;14.0;48684; ;
13;MINIMAX;1;0.046;4;22;14.0;37603; ;
14;MINIMAX;2;0.033;4;21;13.0;25945; ;
15;MINIMAX;1;0.063;4;22;15.0;37480; ;
16;MINIMAX;2;0.06;4;21;13.0;47163; ;
17;MINIMAX;1;0.034;4;20;13.0;26266; ;
18;MINIMAX;2;0.038;4;20;13.0;29769; ;
19;MINIMAX;1;0.037;4;22;14.0;27786; ;
20;MINIMAX;2;0.046;4;21;13.0;35274; ;
21;MINIMAX;1;0.058;4;26;17.0;44390; ;
22;MINIMAX;2;0.059;4;21;12.0;45074; ;
23;MINIMAX;1;0.035;4;22;14.0;27786; ;
24;MINIMAX;2;0.047;4;21;13.0;35274; ;
25;MINIMAX;1;0.058;4;26;17.0;44390; ;
26;MINIMAX;2;0.057;4;21;12.0;45074; ;
27;MINIMAX;1;0.038;4;22;14.0;27786; ;
28;MINIMAX;2;0.044;4;21;13.0;35274; ;
29;MINIMAX;1;0.059;4;26;17.0;44390; ;
30;MINIMAX;2;0.057;4;21;12.0;45074;EMPATE;
1;MINIMAX;2;0.019;4;16;11.0;13602; ;
2;MINIMAX;1;0.025;4;19;13.0;19638; ;
3;MINIMAX;2;0.046;4;20;14.0;34205; ;
4;MINIMAX;1;0.054;4;20;13.0;41096; ;
5;MINIMAX;2;0.062;4;23;16.0;46937; ;
6;MINIMAX;1;0.066;4;23;12.0;51026; ;
7;MINIMAX;2;0.052;4;20;15.0;40018; ;
8;MINIMAX;1;0.041;4;19;12.0;29666; ;
9;MINIMAX;2;0.028;4;18;12.0;21796; ;
10;MINIMAX;1;0.05;4;22;14.0;39072; ;
11;MINIMAX;2;0.036;4;20;12.0;28741; ;
12;MINIMAX;1;0.04;4;25;16.0;29449; ;
13;MINIMAX;2;0.057;4;23;12.0;44434; ;
14;MINIMAX;1;0.043;4;22;15.0;33026; ;
15;MINIMAX;2;0.041;4;21;12.0;32078; ;
16;MINIMAX;1;0.036;4;24;16.0;24639; ;
17;MINIMAX;2;0.039;4;24;11.0;29695; ;
18;MINIMAX;1;0.023;4;22;14.0;17414; ;
19;MINIMAX;2;0.042;4;20;13.0;32509; ;
20;MINIMAX;1;0.037;4;22;14.0;27937; ;
21;MINIMAX;2;0.03;4;20;11.0;21389; ;
22;MINIMAX;1;0.027;4;25;15.0;20858; ;
23;MINIMAX;2;0.045;4;25;11.0;33193; ;
24;MINIMAX;1;0.044;4;22;16.0;32473; ;
25;MINIMAX;2;0.042;4;20;12.0;31916; ;
26;MINIMAX;1;0.038;4;22;14.0;27180; ;
27;MINIMAX;2;0.063;4;21;13.0;47507;VITORIA;
1;MINIMAX;1;0.019;4;16;11.0;13602; ;
2;MINIMAX;2;0.025;4;19;13.0;19638; ;
3;MINIMAX;1;0.045;4;20;14.0;34205; ;
4;MINIMAX;2;0.053;4;20;13.0;41096; ;
5;MINIMAX;1;0.062;4;23;16.0;46937; ;
6;MINIMAX;2;0.112;4;23;15.0;84630; ;
7;MINIMAX;1;0.103;4;24;14.0;79159; ;
8;MINIMAX;2;0.084;4;24;16.0;64675; ;
9;MINIMAX;1;0.071;4;22;14.0;56256; ;
10;MINIMAX;2;0.056;4;23;15.0;44707; ;
11;MINIMAX;1;0.056;4;20;13.0;41928; ;
12;MINIMAX;2;0.055;4;24;16.0;42256; ;
13;MINIMAX;1;0.07;4;22;12.0;53058; ;
14;MINIMAX;2;0.082;4;24;16.0;64457; ;
15;MINIMAX;1;0.072;4;24;13.0;58308; ;
16;MINIMAX;2;0.07;4;24;16.0;53174; ;
17;MINIMAX;1;0.086;4;24;13.0;69874; ;
18;MINIMAX;2;0.091;4;26;18.0;62049; ;
19;MINIMAX;1;0.072;4;24;13.0;58308;VITORIA;
1;MINIMAX;2;0.018;4;16;11.0;13602; ;
2;MINIMAX;1;0.026;4;19;12.0;19624; ;
3;MINIMAX;2;0.044;4;20;14.0;31692; ;
4;MINIMAX;1;0.072;4;23;15.0;56038; ;
5;MINIMAX;2;0.062;4;22;14.0;50773; ;
6;MINIMAX;1;0.078;4;26;17.0;61744; ;
7;MINIMAX;2;0.073;4;25;12.0;56794; ;
8;MINIMAX;1;0.067;4;27;19.0;51882; ;
9;MINIMAX;2;0.112;4;25;13.0;89079; ;
10;MINIMAX;1;0.096;4;26;17.0;60859; ;
11;MINIMAX;2;0.095;4;25;14.0;76136; ;
12;MINIMAX;1;0.063;4;23;15.0;49557; ;
13;MINIMAX;2;0.073;4;22;15.0;57569; ;
14;MINIMAX;1;0.075;4;24;15.0;56929; ;
15;MINIMAX;2;0.059;4;21;14.0;46583; ;
16;MINIMAX;1;0.065;4;23;15.0;50720; ;
17;MINIMAX;2;0.049;4;22;11.0;37603; ;
18;MINIMAX;1;0.031;4;24;16.0;22269; ;
19;MINIMAX;2;0.033;4;24;10.0;25988; ;
20;MINIMAX;1;0.018;4;23;14.0;13609; ;
21;MINIMAX;2;0.026;4;20;10.0;16352; ;
22;MINIMAX;1;0.017;4;18;13.0;11803; ;
23;MINIMAX;2;0.024;4;18;10.0;18484; ;
24;MINIMAX;1;0.014;4;17;12.0;9254; ;
25;MINIMAX;2;0.013;4;17;8.0;9835; ;
26;MINIMAX;1;0.014;4;19;13.0;11239; ;
27;MINIMAX;2;0.019;4;18;9.0;15037; ;
28;MINIMAX;1;0.029;4;23;15.0;23521; ;
29;MINIMAX;2;0.036;4;22;10.0;26603; ;
30;MINIMAX;1;0.042;4;22;15.0;31631;EMPATE;
1;MINIMAX;1;0.022;4;16;11.0;13602; ;
2;MINIMAX;2;0.026;4;19;12.0;19624; ;
3;MINIMAX;1;0.042;4;20;14.0;31692; ;
4;MINIMAX;2;0.072;4;23;15.0;56038; ;
5;MINIMAX;1;0.066;4;22;14.0;50773; ;
6;MINIMAX;2;0.082;4;26;17.0;61744; ;
7;MINIMAX;1;0.072;4;25;12.0;56794; ;
8;MINIMAX;2;0.066;4;27;19.0;51882; ;
9;MINIMAX;1;0.082;4;26;12.0;62500; ;
10;MINIMAX;2;0.041;4;25;16.0;30717; ;
11;MINIMAX;1;0.041;4;24;11.0;31821; ;
12;MINIMAX;2;0.037;4;22;14.0;27717; ;
13;MINIMAX;1;0.066;4;21;13.0;50307; ;
14;MINIMAX;2;0.052;4;22;15.0;40810; ;
15;MINIMAX;1;0.048;4;22;12.0;36509; ;
16;MINIMAX;2;0.051;4;21;15.0;41369; ;
17;MINIMAX;1;0.045;4;20;13.0;34878; ;
18;MINIMAX;2;0.045;4;20;15.0;36586; ;
19;MINIMAX;1;0.059;4;20;13.0;47377; ;
20;MINIMAX;2;0.056;4;21;15.0;43085; ;
21;MINIMAX;1;0.062;4;21;13.0;49665;VITORIA;
1;MINIMAX;2;0.02;4;16;11.0;13602; ;
2;MINIMAX;1;0.026;4;19;13.0;19638; ;
3;MINIMAX;2;0.044;4;20;14.0;34205; ;
4;MINIMAX;1;0.056;4;21;13.0;42734; ;
5;MINIMAX;2;0.06;4;23;15.0;45274; ;
6;MINIMAX;1;0.088;4;22;16.0;69084; ;
7;MINIMAX;2;0.061;4;21;13.0;47826; ;
8;MINIMAX;1;0.05;4;21;14.0;37036; ;
9;MINIMAX;2;0.04;4;20;12.0;31000; ;
10;MINIMAX;1;0.053;4;23;16.0;40346; ;
11;MINIMAX;2;0.052;4;21;12.0;40645; ;
12;MINIMAX;1;0.028;4;20;14.0;21690; ;
13;MINIMAX;2;0.028;4;19;11.0;21749; ;
14;MINIMAX;1;0.027;4;20;13.0;19221; ;
15;MINIMAX;2;0.033;4;19;12.0;25446;VITORIA;
1;MINIMAX;1;0.019;4;16;11.0;13602; ;
2;MINIMAX;2;0.025;4;19;12.0;19624; ;
3;MINIMAX;1;0.042;4;20;14.0;31692; ;
4;MINIMAX;2;0.076;4;23;15.0;56038; ;
5;MINIMAX;1;0.064;4;22;14.0;50773; ;
6;MINIMAX;2;0.081;4;26;17.0;61744; ;
7;MINIMAX;1;0.081;4;25;12.0;56794; ;
8;MINIMAX;2;0.074;4;27;19.0;51882; ;
9;MINIMAX;1;0.076;4;26;12.0;62500; ;
10;MINIMAX;2;0.038;4;25;16.0;30717; ;
11;MINIMAX;1;0.041;4;24;11.0;31821; ;
12;MINIMAX;2;0.049;4;23;15.0;38258; ;
13;MINIMAX;1;0.075;4;21;14.0;58698; ;
14;MINIMAX;2;0.071;4;23;17.0;53462; ;
15;MINIMAX;1;0.087;4;22;14.0;70232; ;
16;MINIMAX;2;0.067;4;22;15.0;51789; ;
17;MINIMAX;1;0.085;4;23;15.0;64988; ;
18;MINIMAX;2;0.061;4;22;14.0;50301; ;
19;MINIMAX;1;0.047;4;21;15.0;36858; ;
20;MINIMAX;2;0.061;4;21;13.0;46411; ;
21;MINIMAX;1;0.047;4;20;14.0;37114;VITORIA;
1;MINIMAX;2;0.019;4;16;11.0;13602; ;
2;MINIMAX;1;0.025;4;19;13.0;19638; ;
3;MINIMAX;2;0.045;4;20;14.0;34205; ;
4;MINIMAX;1;0.055;4;20;13.0;41096; ;
5;MINIMAX;2;0.06;4;23;16.0;46937; ;
6;MINIMAX;1;0.058;4;22;12.0;44669; ;
7;MINIMAX;2;0.06;4;26;17.0;46069; ;
8;MINIMAX;1;0.084;4;23;13.0;65951; ;
9;MINIMAX;2;0.057;4;24;17.0;44763; ;
10;MINIMAX;1;0.062;4;24;12.0;48552; ;
11;MINIMAX;2;0.036;4;22;14.0;27858; ;
12;MINIMAX;1;0.052;4;21;14.0;39900; ;
13;MINIMAX;2;0.089;4;24;16.0;64950; ;
14;MINIMAX;1;0.048;4;22;11.0;37205; ;
15;MINIMAX;2;0.027;4;21;15.0;20237; ;
16;MINIMAX;1;0.06;4;20;13.0;46676; ;
17;MINIMAX;2;0.051;4;21;15.0;38862; ;
18;MINIMAX;1;0.054;4;23;15.0;40861; ;
19;MINIMAX;2;0.068;4;20;13.0;49949; ;
20;MINIMAX;1;0.047;4;25;16.0;36175; ;
21;MINIMAX;2;0.068;4;22;12.0;51585; ;
22;MINIMAX;1;0.046;4;23;14.0;33350; ;
23;MINIMAX;2;0.039;4;20;13.0;30216; ;
24;MINIMAX;1;0.036;4;18;13.0;26319; ;
25;MINIMAX;2;0.045;4;22;14.0;32869; ;
26;MINIMAX;1;0.039;4;19;13.0;30316; ;
27;MINIMAX;2;0.042;4;20;14.0;32951; ;
28;MINIMAX;1;0.042;4;19;13.0;32500; ;
29;MINIMAX;2;0.043;4;22;14.0;32869; ;
30;MINIMAX;1;0.04;4;19;13.0;30316;EMPATE;
1;MINIMAX;1;0.019;4;16;11.0;13602; ;
2;MINIMAX;2;0.028;4;19;13.0;19638; ;
3;MINIMAX;1;0.044;4;20;14.0;34205; ;
4;MINIMAX;2;0.055;4;21;13.0;42734; ;
5;MINIMAX;1;0.061;4;23;15.0;45274; ;
6;MINIMAX;2;0.091;4;22;16.0;69084; ;
7;MINIMAX;1;0.063;4;21;13.0;47826; ;
8;MINIMAX;2;0.05;4;21;14.0;37036; ;
9;MINIMAX;1;0.039;4;20;12.0;31000; ;
10;MINIMAX;2;0.053;4;23;16.0;40346; ;
11;MINIMAX;1;0.103;4;23;14.0;79361; ;
12;MINIMAX;2;0.11;4;25;16.0;84921; ;
13;MINIMAX;1;0.086;4;22;15.0;68790; ;
14;MINIMAX;2;0.056;4;24;15.0;42988; ;
15;MINIMAX;1;0.049;4;21;13.0;37654; ;
16;MINIMAX;2;0.037;4;19;12.0;21604; ;
17;MINIMAX;1;0.036;4;21;13.0;29674; ;
18;MINIMAX;2;0.046;4;20;14.0;35579; ;
19;MINIMAX;1;0.034;4;19;13.0;25922; ;
20;MINIMAX;2;0.035;4;20;13.0;26232; ;
21;MINIMAX;1;0.044;4;19;13.0;32045; ;
22;MINIMAX;2;0.045;4;23;14.0;35144; ;
23;MINIMAX;1;0.031;4;20;13.0;23913; ;
24;MINIMAX;2;0.026;4;19;12.0;20660; ;
25;MINIMAX;1;0.031;4;23;13.0;22359; ;
26;MINIMAX;2;0.025;4;20;12.0;19427; ;
27;MINIMAX;1;0.03;4;21;13.0;21879; ;
28;MINIMAX;2;0.031;4;21;12.0;23027; ;
29;MINIMAX;1;0.026;4;20;13.0;17207; ;
30;MINIMAX;2;0.022;4;20;12.0;17151;EMPATE;
1;MINIMAX;2;0.018;4;16;11.0;13602; ;
2;MINIMAX;1;0.027;4;19;12.0;19624; ;
3;MINIMAX;2;0.041;4;20;14.0;31692; ;
4;MINIMAX;1;0.073;4;23;15.0;56230; ;
5;MINIMAX;2;0.064;4;22;14.0;49080; ;
6;MINIMAX;1;0.08;4;26;17.0;61744; ;
7;MINIMAX;2;0.076;4;25;12.0;56841; ;
8;MINIMAX;1;0.067;4;27;19.0;51893; ;
9;MINIMAX;2;0.11;4;25;13.0;89073; ;
10;MINIMAX;1;0.08;4;26;17.0;61824; ;
11;MINIMAX;2;0.1;4;25;14.0;76320; ;
12;MINIMAX;1;0.053;4;23;14.0;40906; ;
13;MINIMAX;2;0.042;4;21;13.0;32677; ;
14;MINIMAX;1;0.044;4;25;16.0;34421; ;
15;MINIMAX;2;0.074;4;21;14.0;55538; ;
16;MINIMAX;1;0.068;4;23;15.0;52225; ;
17;MINIMAX;2;0.077;4;23;16.0;62187; ;
18;MINIMAX;1;0.081;4;23;14.0;62807; ;
19;MINIMAX;2;0.069;4;21;14.0;54649; ;
20;MINIMAX;1;0.058;4;21;15.0;44470; ;
21;MINIMAX;2;0.057;4;21;13.0;45195;VITORIA;
1;MINIMAX;1;0.02;4;16;11.0;13602; ;
